concept,frequency,num texts,tf-idf,corpus tf-idf,filename
bps,6,1,14.854027,14.854027,pubmed_small#183
bph,6,1,14.854027,14.854027,pubmed_small#241
udca,6,1,14.854027,14.854027,pubmed_small#25
intraocular,6,1,14.854027,14.854027,pubmed_small#271
ductular,6,1,14.854027,14.854027,pubmed_small#250
pink,6,1,14.854027,14.854027,pubmed_small#295
lipolysis,6,1,14.854027,14.854027,pubmed_small#255
oxyntic,6,1,14.854027,14.854027,pubmed_small#130
hsp,6,1,14.854027,14.854027,pubmed_small#226
hsv,6,1,14.854027,14.854027,pubmed_small#202
adenoid,6,1,14.854027,14.854027,pubmed_small#186
primate,6,1,14.854027,14.854027,pubmed_small#240
mucinous,6,1,14.854027,14.854027,pubmed_small#194
eyed,6,1,14.854027,14.854027,pubmed_small#295
endothelin,6,1,14.854027,14.854027,pubmed_small#38
ne,6,1,14.854027,14.854027,pubmed_small#221
shear,6,1,14.854027,14.854027,pubmed_small#132
editorial,10,10,14.75671,14.756712,"pubmed_small#107,pubmed_small#134,pubmed_small#139,pubmed_small#146,pubmed_small#177,pubmed_small#198,pubmed_small#200,pubmed_small#237,pubmed_small#277,pubmed_small#78"
jm,10,10,14.75671,14.756712,"pubmed_small#141,pubmed_small#157,pubmed_small#176,pubmed_small#188,pubmed_small#192,pubmed_small#195,pubmed_small#206,pubmed_small#218,pubmed_small#3,pubmed_small#83"
pathologic,10,10,14.75671,14.756712,"pubmed_small#150,pubmed_small#176,pubmed_small#205,pubmed_small#232,pubmed_small#264,pubmed_small#283,pubmed_small#284,pubmed_small#296,pubmed_small#73,pubmed_small#87"
review,10,10,14.75671,14.756712,"pubmed_small#152,pubmed_small#19,pubmed_small#206,pubmed_small#219,pubmed_small#265,pubmed_small#270,pubmed_small#45,pubmed_small#65,pubmed_small#84,pubmed_small#89"
woman,10,10,14.75671,14.756712,"pubmed_small#105,pubmed_small#106,pubmed_small#120,pubmed_small#148,pubmed_small#155,pubmed_small#20,pubmed_small#229,pubmed_small#235,pubmed_small#242,pubmed_small#259"
demonstrate,10,10,14.75671,14.756712,"pubmed_small#109,pubmed_small#144,pubmed_small#164,pubmed_small#210,pubmed_small#241,pubmed_small#267,pubmed_small#30,pubmed_small#38,pubmed_small#46,pubmed_small#65"
negative,10,10,14.75671,14.756712,"pubmed_small#106,pubmed_small#178,pubmed_small#202,pubmed_small#228,pubmed_small#240,pubmed_small#281,pubmed_small#31,pubmed_small#6,pubmed_small#7,pubmed_small#75"
infusion,9,7,14.6751585,14.6751585,"pubmed_small#120,pubmed_small#216,pubmed_small#223,pubmed_small#256,pubmed_small#289,pubmed_small#38,pubmed_small#67"
relationship,9,7,14.6751585,14.6751585,"pubmed_small#106,pubmed_small#112,pubmed_small#117,pubmed_small#158,pubmed_small#226,pubmed_small#36,pubmed_small#85"
importance,9,7,14.6751585,14.6751585,"pubmed_small#136,pubmed_small#142,pubmed_small#184,pubmed_small#217,pubmed_small#36,pubmed_small#67,pubmed_small#72"
drugs,9,7,14.6751585,14.6751585,"pubmed_small#130,pubmed_small#145,pubmed_small#198,pubmed_small#216,pubmed_small#245,pubmed_small#299,pubmed_small#82"
patterns,9,7,14.6751585,14.6751585,"pubmed_small#112,pubmed_small#152,pubmed_small#217,pubmed_small#269,pubmed_small#82,pubmed_small#86,pubmed_small#87"
areas,9,7,14.6751585,14.6751585,"pubmed_small#194,pubmed_small#2,pubmed_small#31,pubmed_small#37,pubmed_small#41,pubmed_small#68,pubmed_small#86"
biliary,9,7,14.6751585,14.6751585,"pubmed_small#115,pubmed_small#25,pubmed_small#250,pubmed_small#291,pubmed_small#296,pubmed_small#69,pubmed_small#7"
receive,9,7,14.6751585,14.6751585,"pubmed_small#110,pubmed_small#140,pubmed_small#170,pubmed_small#213,pubmed_small#223,pubmed_small#275,pubmed_small#289"
microscopy,9,7,14.6751585,14.6751585,"pubmed_small#111,pubmed_small#133,pubmed_small#142,pubmed_small#266,pubmed_small#269,pubmed_small#299,pubmed_small#53"
secondary,9,7,14.6751585,14.6751585,"pubmed_small#130,pubmed_small#143,pubmed_small#156,pubmed_small#206,pubmed_small#23,pubmed_small#255,pubmed_small#95"
undergoing,9,7,14.6751585,14.6751585,"pubmed_small#106,pubmed_small#162,pubmed_small#170,pubmed_small#273,pubmed_small#289,pubmed_small#36,pubmed_small#42"
tomography,9,7,14.675158,14.6751585,"pubmed_small#144,pubmed_small#163,pubmed_small#219,pubmed_small#233,pubmed_small#28,pubmed_small#62,pubmed_small#70"
respiratory,8,5,14.21361,14.21361,"pubmed_small#162,pubmed_small#256,pubmed_small#259,pubmed_small#275,pubmed_small#278"
injected,8,5,14.21361,14.21361,"pubmed_small#210,pubmed_small#247,pubmed_small#267,pubmed_small#282,pubmed_small#285"
iii,8,5,14.21361,14.21361,"pubmed_small#111,pubmed_small#133,pubmed_small#180,pubmed_small#245,pubmed_small#62"
aspiration,8,5,14.21361,14.21361,"pubmed_small#178,pubmed_small#192,pubmed_small#229,pubmed_small#86,pubmed_small#90"
diameter,8,5,14.21361,14.21361,"pubmed_small#192,pubmed_small#25,pubmed_small#57,pubmed_small#60,pubmed_small#88"
rapid,8,5,14.21361,14.21361,"pubmed_small#185,pubmed_small#218,pubmed_small#28,pubmed_small#290,pubmed_small#85"
agent,8,5,14.21361,14.21361,"pubmed_small#14,pubmed_small#216,pubmed_small#28,pubmed_small#34,pubmed_small#66"
partial,8,5,14.213609,14.21361,"pubmed_small#120,pubmed_small#130,pubmed_small#133,pubmed_small#22,pubmed_small#6"
rates,8,5,14.213609,14.21361,"pubmed_small#213,pubmed_small#25,pubmed_small#33,pubmed_small#62,pubmed_small#83"
ka,8,5,14.213609,14.21361,"pubmed_small#158,pubmed_small#268,pubmed_small#286,pubmed_small#288,pubmed_small#4"
sensitivity,8,5,14.213609,14.21361,"pubmed_small#13,pubmed_small#157,pubmed_small#255,pubmed_small#28,pubmed_small#290"
anti,8,5,14.213609,14.21361,"pubmed_small#158,pubmed_small#250,pubmed_small#267,pubmed_small#282,pubmed_small#35"
cost,8,5,14.213609,14.21361,"pubmed_small#145,pubmed_small#191,pubmed_small#283,pubmed_small#294,pubmed_small#55"
life,9,8,14.153231,14.153231,"pubmed_small#130,pubmed_small#156,pubmed_small#167,pubmed_small#19,pubmed_small#28,pubmed_small#34,pubmed_small#49,pubmed_small#82"
occurred,9,8,14.153231,14.153231,"pubmed_small#108,pubmed_small#130,pubmed_small#148,pubmed_small#178,pubmed_small#184,pubmed_small#273,pubmed_small#3,pubmed_small#85"
value,9,8,14.153231,14.153231,"pubmed_small#100,pubmed_small#132,pubmed_small#215,pubmed_small#22,pubmed_small#253,pubmed_small#260,pubmed_small#75,pubmed_small#86"
rare,9,8,14.153231,14.153231,"pubmed_small#133,pubmed_small#16,pubmed_small#179,pubmed_small#187,pubmed_small#204,pubmed_small#205,pubmed_small#34,pubmed_small#6"
area,9,8,14.153231,14.153231,"pubmed_small#119,pubmed_small#120,pubmed_small#180,pubmed_small#192,pubmed_small#263,pubmed_small#273,pubmed_small#73,pubmed_small#79"
waves,7,3,13.98985,13.989849,"pubmed_small#197,pubmed_small#266,pubmed_small#4"
gastrin,7,3,13.98985,13.989849,"pubmed_small#130,pubmed_small#143,pubmed_small#72"
thymic,7,3,13.989849,13.989849,"pubmed_small#268,pubmed_small#29,pubmed_small#44"
hypergastrinemia,7,3,13.989849,13.989849,"pubmed_small#130,pubmed_small#143,pubmed_small#72"
wound,7,3,13.989849,13.989849,"pubmed_small#199,pubmed_small#34,pubmed_small#85"
lymphocytes,7,3,13.989849,13.989849,"pubmed_small#174,pubmed_small#268,pubmed_small#31"
protocol,7,3,13.989849,13.989849,"pubmed_small#153,pubmed_small#19,pubmed_small#79"
median,7,3,13.989849,13.989849,"pubmed_small#221,pubmed_small#289,pubmed_small#99"
analogue,7,3,13.989849,13.989849,"pubmed_small#160,pubmed_small#163,pubmed_small#170"
ear,7,3,13.989849,13.989849,"pubmed_small#187,pubmed_small#206,pubmed_small#87"
unstable,7,3,13.989849,13.989849,"pubmed_small#295,pubmed_small#33,pubmed_small#42"
microns,7,3,13.989849,13.989849,"pubmed_small#160,pubmed_small#299,pubmed_small#85"
uptake,7,3,13.989849,13.989849,"pubmed_small#210,pubmed_small#28,pubmed_small#282"
bowel,7,3,13.989849,13.989849,"pubmed_small#143,pubmed_small#160,pubmed_small#28"
prognosis,7,3,13.989849,13.989849,"pubmed_small#136,pubmed_small#180,pubmed_small#217"
combination,7,3,13.989849,13.989849,"pubmed_small#276,pubmed_small#294,pubmed_small#77"
exploration,7,3,13.989849,13.989849,"pubmed_small#23,pubmed_small#259,pubmed_small#32"
additional,9,9,13.69286,13.692858,"pubmed_small#158,pubmed_small#162,pubmed_small#19,pubmed_small#203,pubmed_small#273,pubmed_small#287,pubmed_small#299,pubmed_small#68,pubmed_small#86"
jw,9,9,13.69286,13.692858,"pubmed_small#11,pubmed_small#160,pubmed_small#165,pubmed_small#25,pubmed_small#254,pubmed_small#275,pubmed_small#30,pubmed_small#7,pubmed_small#79"
words,9,9,13.69286,13.692858,"pubmed_small#142,pubmed_small#15,pubmed_small#153,pubmed_small#228,pubmed_small#28,pubmed_small#288,pubmed_small#42,pubmed_small#67,pubmed_small#91"
information,9,9,13.69286,13.692858,"pubmed_small#112,pubmed_small#119,pubmed_small#136,pubmed_small#145,pubmed_small#181,pubmed_small#19,pubmed_small#202,pubmed_small#213,pubmed_small#266"
histological,8,6,13.58016,13.580159,"pubmed_small#112,pubmed_small#118,pubmed_small#148,pubmed_small#156,pubmed_small#216,pubmed_small#60"
cycle,8,6,13.58016,13.580159,"pubmed_small#132,pubmed_small#242,pubmed_small#286,pubmed_small#45,pubmed_small#54,pubmed_small#83"
setting,8,6,13.58016,13.580159,"pubmed_small#145,pubmed_small#181,pubmed_small#260,pubmed_small#270,pubmed_small#284,pubmed_small#79"
consecutive,8,6,13.58016,13.580159,"pubmed_small#15,pubmed_small#271,pubmed_small#285,pubmed_small#4,pubmed_small#7,pubmed_small#79"
randomized,8,6,13.58016,13.580159,"pubmed_small#140,pubmed_small#153,pubmed_small#213,pubmed_small#223,pubmed_small#25,pubmed_small#98"
hormonal,8,6,13.58016,13.580159,"pubmed_small#191,pubmed_small#20,pubmed_small#242,pubmed_small#264,pubmed_small#296,pubmed_small#54"
altered,8,6,13.580159,13.580159,"pubmed_small#113,pubmed_small#140,pubmed_small#220,pubmed_small#221,pubmed_small#255,pubmed_small#287"
biopsies,8,6,13.580159,13.580159,"pubmed_small#14,pubmed_small#20,pubmed_small#229,pubmed_small#280,pubmed_small#287,pubmed_small#30"
culture,8,6,13.580159,13.580159,"pubmed_small#119,pubmed_small#125,pubmed_small#141,pubmed_small#157,pubmed_small#193,pubmed_small#250"
latency,7,4,13.115279,13.115278,"pubmed_small#156,pubmed_small#228,pubmed_small#67,pubmed_small#84"
proliferative,7,4,13.115278,13.115278,"pubmed_small#178,pubmed_small#192,pubmed_small#273,pubmed_small#80"
estrogen,7,4,13.115278,13.115278,"pubmed_small#191,pubmed_small#235,pubmed_small#70,pubmed_small#75"
enzyme,7,4,13.115278,13.115278,"pubmed_small#120,pubmed_small#163,pubmed_small#290,pubmed_small#75"
poorly,7,4,13.115278,13.115278,"pubmed_small#155,pubmed_small#187,pubmed_small#62,pubmed_small#86"
developing,7,4,13.115278,13.115278,"pubmed_small#130,pubmed_small#253,pubmed_small#47,pubmed_small#55"
inhibited,7,4,13.115278,13.115278,"pubmed_small#102,pubmed_small#2,pubmed_small#290,pubmed_small#67"
ischemia,7,4,13.115278,13.115278,"pubmed_small#136,pubmed_small#258,pubmed_small#288,pubmed_small#290"
sequences,7,4,13.115278,13.115278,"pubmed_small#14,pubmed_small#202,pubmed_small#295,pubmed_small#68"
antigens,7,4,13.115278,13.115278,"pubmed_small#125,pubmed_small#157,pubmed_small#37,pubmed_small#77"
nerve,7,4,13.115278,13.115278,"pubmed_small#167,pubmed_small#228,pubmed_small#292,pubmed_small#45"
atrophic,7,4,13.115278,13.115278,"pubmed_small#143,pubmed_small#206,pubmed_small#5,pubmed_small#72"
wk,7,4,13.115278,13.115278,"pubmed_small#23,pubmed_small#286,pubmed_small#54,pubmed_small#66"
ct,6,2,13.047848,13.047847,"pubmed_small#259,pubmed_small#287"
lithotripsy,6,2,13.047848,13.047847,"pubmed_small#197,pubmed_small#25"
partially,6,2,13.047848,13.047847,"pubmed_small#130,pubmed_small#62"
cortical,6,2,13.047848,13.047847,"pubmed_small#228,pubmed_small#73"
carbohydrate,6,2,13.047848,13.047847,"pubmed_small#102,pubmed_small#286"
lipoprotein,6,2,13.047848,13.047847,"pubmed_small#169,pubmed_small#225"
amplitude,6,2,13.047848,13.047847,"pubmed_small#228,pubmed_small#266"
colonoscopy,6,2,13.047848,13.047847,"pubmed_small#220,pubmed_small#79"
diarrhea,6,2,13.047848,13.047847,"pubmed_small#143,pubmed_small#289"
duodenal,6,2,13.047848,13.047847,"pubmed_small#16,pubmed_small#36"
stenting,6,2,13.047848,13.047847,"pubmed_small#283,pubmed_small#299"
behavior,6,2,13.047848,13.047847,"pubmed_small#152,pubmed_small#67"
bulb,6,2,13.047847,13.047847,"pubmed_small#16,pubmed_small#185"
experiments,6,2,13.047847,13.047847,"pubmed_small#221,pubmed_small#288"
myeloid,6,2,13.047847,13.047847,"pubmed_small#102,pubmed_small#280"
progesterone,6,2,13.047847,13.047847,"pubmed_small#120,pubmed_small#290"
aorta,6,2,13.047847,13.047847,"pubmed_small#2,pubmed_small#267"
cavernous,6,2,13.047847,13.047847,"pubmed_small#126,pubmed_small#265"
tnf,6,2,13.047847,13.047847,"pubmed_small#193,pubmed_small#52"
extracorporeal,6,2,13.047847,13.047847,"pubmed_small#197,pubmed_small#25"
epidermal,6,2,13.047847,13.047847,"pubmed_small#184,pubmed_small#239"
analog,6,2,13.047847,13.047847,"pubmed_small#163,pubmed_small#241"
hcg,6,2,13.047847,13.047847,"pubmed_small#20,pubmed_small#242"
duplication,6,2,13.047847,13.047847,"pubmed_small#22,pubmed_small#295"
glutamate,6,2,13.047847,13.047847,"pubmed_small#210,pubmed_small#67"
made,8,7,13.044585,13.044585,"pubmed_small#110,pubmed_small#145,pubmed_small#19,pubmed_small#205,pubmed_small#276,pubmed_small#75,pubmed_small#88"
models,8,7,13.044585,13.044585,"pubmed_small#110,pubmed_small#132,pubmed_small#140,pubmed_small#141,pubmed_small#45,pubmed_small#84,pubmed_small#95"
removal,8,7,13.044585,13.044585,"pubmed_small#111,pubmed_small#185,pubmed_small#187,pubmed_small#20,pubmed_small#293,pubmed_small#64,pubmed_small#70"
controlled,8,7,13.044585,13.044585,"pubmed_small#155,pubmed_small#223,pubmed_small#25,pubmed_small#253,pubmed_small#262,pubmed_small#281,pubmed_small#288"
included,8,7,13.044585,13.044585,"pubmed_small#119,pubmed_small#125,pubmed_small#287,pubmed_small#289,pubmed_small#293,pubmed_small#7,pubmed_small#91"
resulted,8,7,13.044585,13.044585,"pubmed_small#157,pubmed_small#186,pubmed_small#20,pubmed_small#281,pubmed_small#282,pubmed_small#299,pubmed_small#87"
ability,8,7,13.044585,13.044585,"pubmed_small#120,pubmed_small#216,pubmed_small#255,pubmed_small#267,pubmed_small#294,pubmed_small#67,pubmed_small#84"
failed,8,7,13.044585,13.044585,"pubmed_small#144,pubmed_small#160,pubmed_small#164,pubmed_small#256,pubmed_small#275,pubmed_small#67,pubmed_small#96"
hypothesis,8,7,13.044585,13.044585,"pubmed_small#109,pubmed_small#112,pubmed_small#130,pubmed_small#226,pubmed_small#240,pubmed_small#274,pubmed_small#37"
problems,8,7,13.044585,13.044585,"pubmed_small#110,pubmed_small#148,pubmed_small#181,pubmed_small#284,pubmed_small#293,pubmed_small#53,pubmed_small#55"
immediately,8,7,13.044585,13.044585,"pubmed_small#118,pubmed_small#133,pubmed_small#142,pubmed_small#155,pubmed_small#281,pubmed_small#285,pubmed_small#286"
immunohistochemical,8,7,13.044585,13.044585,"pubmed_small#100,pubmed_small#210,pubmed_small#241,pubmed_small#267,pubmed_small#35,pubmed_small#37,pubmed_small#87"
approach,8,7,13.044585,13.044585,"pubmed_small#13,pubmed_small#178,pubmed_small#186,pubmed_small#218,pubmed_small#232,pubmed_small#263,pubmed_small#282"
affected,8,7,13.044585,13.044585,"pubmed_small#145,pubmed_small#155,pubmed_small#241,pubmed_small#286,pubmed_small#46,pubmed_small#91,pubmed_small#99"
unknown,8,7,13.044585,13.044585,"pubmed_small#11,pubmed_small#221,pubmed_small#240,pubmed_small#283,pubmed_small#290,pubmed_small#71,pubmed_small#99"
course,8,8,12.580649,12.580649,"pubmed_small#206,pubmed_small#273,pubmed_small#285,pubmed_small#289,pubmed_small#293,pubmed_small#34,pubmed_small#60,pubmed_small#82"
degree,8,8,12.580649,12.580649,"pubmed_small#130,pubmed_small#133,pubmed_small#192,pubmed_small#195,pubmed_small#296,pubmed_small#35,pubmed_small#37,pubmed_small#5"
shown,8,8,12.580649,12.580649,"pubmed_small#125,pubmed_small#130,pubmed_small#133,pubmed_small#158,pubmed_small#165,pubmed_small#166,pubmed_small#62,pubmed_small#67"
jj,8,8,12.580649,12.580649,"pubmed_small#101,pubmed_small#104,pubmed_small#150,pubmed_small#218,pubmed_small#248,pubmed_small#42,pubmed_small#88,pubmed_small#91"
truncated,8,8,12.580649,12.580649,"pubmed_small#142,pubmed_small#15,pubmed_small#153,pubmed_small#228,pubmed_small#28,pubmed_small#288,pubmed_small#42,pubmed_small#67"
difference,8,8,12.580649,12.580649,"pubmed_small#111,pubmed_small#123,pubmed_small#25,pubmed_small#271,pubmed_small#289,pubmed_small#296,pubmed_small#75,pubmed_small#79"
abstract,8,8,12.580649,12.580649,"pubmed_small#142,pubmed_small#15,pubmed_small#153,pubmed_small#228,pubmed_small#28,pubmed_small#288,pubmed_small#42,pubmed_small#67"
suggests,8,8,12.580649,12.580649,"pubmed_small#117,pubmed_small#152,pubmed_small#213,pubmed_small#221,pubmed_small#242,pubmed_small#31,pubmed_small#75,pubmed_small#9"
contrast,8,8,12.580649,12.580649,"pubmed_small#123,pubmed_small#210,pubmed_small#22,pubmed_small#242,pubmed_small#268,pubmed_small#269,pubmed_small#284,pubmed_small#80"
characteristics,8,8,12.580649,12.580649,"pubmed_small#113,pubmed_small#142,pubmed_small#144,pubmed_small#235,pubmed_small#3,pubmed_small#69,pubmed_small#82,pubmed_small#95"
tested,8,8,12.580649,12.580649,"pubmed_small#119,pubmed_small#138,pubmed_small#157,pubmed_small#165,pubmed_small#226,pubmed_small#240,pubmed_small#284,pubmed_small#77"
month,8,8,12.580649,12.580649,"pubmed_small#119,pubmed_small#179,pubmed_small#203,pubmed_small#213,pubmed_small#25,pubmed_small#275,pubmed_small#5,pubmed_small#73"
determined,8,8,12.580649,12.580649,"pubmed_small#111,pubmed_small#117,pubmed_small#142,pubmed_small#226,pubmed_small#266,pubmed_small#273,pubmed_small#36,pubmed_small#68"
pathogenesis,8,8,12.580649,12.580649,"pubmed_small#136,pubmed_small#256,pubmed_small#267,pubmed_small#268,pubmed_small#292,pubmed_small#66,pubmed_small#72,pubmed_small#73"
independent,8,8,12.580649,12.580649,"pubmed_small#113,pubmed_small#15,pubmed_small#210,pubmed_small#236,pubmed_small#247,pubmed_small#256,pubmed_small#264,pubmed_small#52"
occur,8,8,12.580649,12.580649,"pubmed_small#109,pubmed_small#132,pubmed_small#187,pubmed_small#203,pubmed_small#206,pubmed_small#273,pubmed_small#284,pubmed_small#31"
appears,8,8,12.580649,12.580649,"pubmed_small#149,pubmed_small#169,pubmed_small#191,pubmed_small#2,pubmed_small#247,pubmed_small#274,pubmed_small#283,pubmed_small#66"
characteristic,8,8,12.580649,12.580649,"pubmed_small#119,pubmed_small#132,pubmed_small#16,pubmed_small#199,pubmed_small#266,pubmed_small#269,pubmed_small#295,pubmed_small#35"
rw,8,8,12.580649,12.580649,"pubmed_small#112,pubmed_small#163,pubmed_small#217,pubmed_small#25,pubmed_small#281,pubmed_small#31,pubmed_small#84,pubmed_small#94"
result,8,8,12.580649,12.580649,"pubmed_small#153,pubmed_small#185,pubmed_small#203,pubmed_small#242,pubmed_small#276,pubmed_small#292,pubmed_small#296,pubmed_small#82"
inflammatory,8,8,12.580649,12.580649,"pubmed_small#103,pubmed_small#186,pubmed_small#199,pubmed_small#216,pubmed_small#217,pubmed_small#267,pubmed_small#285,pubmed_small#34"
implanted,7,5,12.436909,12.436909,"pubmed_small#111,pubmed_small#216,pubmed_small#242,pubmed_small#33,pubmed_small#45"
cardiac,7,5,12.436909,12.436909,"pubmed_small#132,pubmed_small#136,pubmed_small#253,pubmed_small#258,pubmed_small#274"
persistent,7,5,12.436909,12.436909,"pubmed_small#130,pubmed_small#214,pubmed_small#276,pubmed_small#30,pubmed_small#62"
proteins,7,5,12.436909,12.436909,"pubmed_small#102,pubmed_small#125,pubmed_small#183,pubmed_small#249,pubmed_small#77"
differentiated,7,5,12.436909,12.436909,"pubmed_small#118,pubmed_small#250,pubmed_small#264,pubmed_small#35,pubmed_small#86"
physician,7,5,12.436909,12.436909,"pubmed_small#110,pubmed_small#145,pubmed_small#19,pubmed_small#227,pubmed_small#232"
yr,7,5,12.436909,12.436909,"pubmed_small#105,pubmed_small#144,pubmed_small#164,pubmed_small#286,pubmed_small#30"
absence,7,5,12.436909,12.436909,"pubmed_small#120,pubmed_small#15,pubmed_small#295,pubmed_small#37,pubmed_small#86"
internal,7,5,12.436908,12.436909,"pubmed_small#126,pubmed_small#203,pubmed_small#207,pubmed_small#235,pubmed_small#42"
manifestations,7,5,12.436908,12.436909,"pubmed_small#148,pubmed_small#171,pubmed_small#206,pubmed_small#34,pubmed_small#96"
interventions,7,5,12.436908,12.436909,"pubmed_small#145,pubmed_small#152,pubmed_small#213,pubmed_small#253,pubmed_small#55"
preventive,7,5,12.436908,12.436909,"pubmed_small#199,pubmed_small#213,pubmed_small#215,pubmed_small#294,pubmed_small#82"
labeled,7,5,12.436908,12.436909,"pubmed_small#144,pubmed_small#164,pubmed_small#241,pubmed_small#269,pubmed_small#282"
signal,7,5,12.436908,12.436909,"pubmed_small#173,pubmed_small#205,pubmed_small#253,pubmed_small#266,pubmed_small#282"
measures,7,5,12.436908,12.436909,"pubmed_small#223,pubmed_small#258,pubmed_small#260,pubmed_small#286,pubmed_small#55"
resolution,7,5,12.436908,12.436909,"pubmed_small#199,pubmed_small#249,pubmed_small#253,pubmed_small#281,pubmed_small#295"
ppd,5,1,12.378356,12.378356,pubmed_small#80
transfusions,5,1,12.378356,12.378356,pubmed_small#140
fluorescence,5,1,12.378356,12.378356,pubmed_small#282
ileal,5,1,12.378356,12.378356,pubmed_small#4
ht,5,1,12.378356,12.378356,pubmed_small#247
cyclists,5,1,12.378356,12.378356,pubmed_small#286
interpleural,5,1,12.378356,12.378356,pubmed_small#170
hypoperfusion,5,1,12.378356,12.378356,pubmed_small#73
conception,5,1,12.378356,12.378356,pubmed_small#242
etomidate,5,1,12.378356,12.378356,pubmed_small#228
rev,5,1,12.378356,12.378356,pubmed_small#84
ileum,5,1,12.378356,12.378356,pubmed_small#4
eae,5,1,12.378356,12.378356,pubmed_small#285
countries,5,1,12.378356,12.378356,pubmed_small#55
smcs,5,1,12.378356,12.378356,pubmed_small#273
channels,5,1,12.378356,12.378356,pubmed_small#247
cloacal,5,1,12.378356,12.378356,pubmed_small#22
gwbc,5,1,12.378356,12.378356,pubmed_small#111
myocyte,5,1,12.378356,12.378356,pubmed_small#3
influenza,5,1,12.378356,12.378356,pubmed_small#213
ketoglutarate,5,1,12.378356,12.378356,pubmed_small#210
musculocutaneous,5,1,12.378356,12.378356,pubmed_small#85
epilepsy,5,1,12.378356,12.378356,pubmed_small#181
hyperandrogenic,5,1,12.378356,12.378356,pubmed_small#260
fistula,5,1,12.378356,12.378356,pubmed_small#155
thermal,5,1,12.378356,12.378356,pubmed_small#226
influenzae,5,1,12.378356,12.378356,pubmed_small#157
cardiopulmonary,5,1,12.378356,12.378356,pubmed_small#162
excitatory,5,1,12.378356,12.378356,pubmed_small#67
ima,5,1,12.378356,12.378356,pubmed_small#42
camp,5,1,12.378356,12.378356,pubmed_small#290
casp,5,1,12.378356,12.378356,pubmed_small#33
sncl,5,1,12.378356,12.378356,pubmed_small#178
forceps,5,1,12.378356,12.378356,pubmed_small#190
corpectomized,5,1,12.378356,12.378356,pubmed_small#130
mumol,5,1,12.378356,12.378356,pubmed_small#169
elam,5,1,12.378356,12.378356,pubmed_small#102
islet,5,1,12.378356,12.378356,pubmed_small#24
grief,5,1,12.378356,12.378356,pubmed_small#232
mucocelelike,5,1,12.378356,12.378356,pubmed_small#194
melanocytes,5,1,12.378356,12.378356,pubmed_small#239
pwbc,5,1,12.378356,12.378356,pubmed_small#111
lex,5,1,12.378356,12.378356,pubmed_small#102
middle,5,1,12.378356,12.378356,pubmed_small#87
superoxide,5,1,12.378356,12.378356,pubmed_small#290
sem,6,3,11.991301,11.9913,"pubmed_small#111,pubmed_small#263,pubmed_small#53"
composition,6,3,11.991301,11.9913,"pubmed_small#113,pubmed_small#169,pubmed_small#184"
progression,6,3,11.991301,11.9913,"pubmed_small#100,pubmed_small#156,pubmed_small#179"
community,6,3,11.991301,11.9913,"pubmed_small#110,pubmed_small#232,pubmed_small#55"
heat,6,3,11.991301,11.9913,"pubmed_small#125,pubmed_small#226,pubmed_small#290"
post,6,3,11.991301,11.9913,"pubmed_small#160,pubmed_small#7,pubmed_small#76"
northern,6,3,11.991301,11.9913,"pubmed_small#267,pubmed_small#31,pubmed_small#68"
individuals,6,3,11.991301,11.9913,"pubmed_small#125,pubmed_small#152,pubmed_small#19"
enlarged,6,3,11.991301,11.9913,"pubmed_small#186,pubmed_small#268,pubmed_small#32"
anesthesia,6,3,11.991301,11.9913,"pubmed_small#140,pubmed_small#2,pubmed_small#230"
extraction,6,3,11.991301,11.9913,"pubmed_small#13,pubmed_small#271,pubmed_small#28"
training,6,3,11.9913,11.9913,"pubmed_small#110,pubmed_small#213,pubmed_small#286"
visual,6,3,11.9913,11.9913,"pubmed_small#163,pubmed_small#170,pubmed_small#276"
melanocytic,6,3,11.9913,11.9913,"pubmed_small#116,pubmed_small#204,pubmed_small#239"
arteriovenous,6,3,11.9913,11.9913,"pubmed_small#155,pubmed_small#164,pubmed_small#217"
calcium,6,3,11.9913,11.9913,"pubmed_small#266,pubmed_small#38,pubmed_small#66"
intima,6,3,11.9913,11.9913,"pubmed_small#132,pubmed_small#199,pubmed_small#273"
albumin,6,3,11.9913,11.9913,"pubmed_small#162,pubmed_small#164,pubmed_small#281"
classification,6,3,11.9913,11.9913,"pubmed_small#190,pubmed_small#5,pubmed_small#65"
cancers,6,3,11.9913,11.9913,"pubmed_small#105,pubmed_small#14,pubmed_small#202"
criteria,6,3,11.9913,11.9913,"pubmed_small#112,pubmed_small#213,pubmed_small#60"
workers,6,3,11.9913,11.9913,"pubmed_small#232,pubmed_small#294,pubmed_small#31"
prognostic,6,3,11.9913,11.9913,"pubmed_small#100,pubmed_small#180,pubmed_small#264"
residual,6,3,11.9913,11.9913,"pubmed_small#160,pubmed_small#199,pubmed_small#99"
cord,6,3,11.9913,11.9913,"pubmed_small#22,pubmed_small#259,pubmed_small#67"
secretory,6,3,11.9913,11.9913,"pubmed_small#113,pubmed_small#132,pubmed_small#65"
paralysis,6,3,11.9913,11.9913,"pubmed_small#101,pubmed_small#259,pubmed_small#285"
nucleus,6,3,11.9913,11.9913,"pubmed_small#228,pubmed_small#240,pubmed_small#84"
educational,6,3,11.9913,11.9913,"pubmed_small#110,pubmed_small#145,pubmed_small#181"
viral,6,3,11.9913,11.9913,"pubmed_small#14,pubmed_small#37,pubmed_small#84"
